,dynamic,static,time,seed,fp_count,motion_model,EKF_EXC,EKF_INC,EKF_FP,EKF_MR
20231108_095544,1,2,60,1,1,BodyFrame,0.108354488315808,55.66773074245411,,1.589440567774214
20231108_095600,1,2,60,2,1,BodyFrame,0.12646307433627804,10.036067225620892,,0.5801986106687098
20231108_095617,1,2,60,3,1,BodyFrame,0.09036899351301718,65.30635770720797,,0.10377171819875919
20231108_095633,1,2,60,4,1,BodyFrame,0.08810257520526803,173.58538155815407,,0.3507892284779388
20231108_095650,1,2,60,5,1,BodyFrame,0.10006412900252239,22.18963770771386,,0.06917789892086343
20231108_095706,6,2,60,1,1,BodyFrame,0.08476851551771915,41.99120830845349,,7.50182458185403
20231108_095730,6,2,60,2,1,BodyFrame,0.1883414792831971,9.802476665263862,,2.251311363378245
20231108_095757,6,2,60,3,1,BodyFrame,0.21307181522616736,70.89385162505772,,5.901593365291975
20231108_095821,6,2,60,4,1,BodyFrame,0.08782726167991625,30.467997199006835,,1.6082058582182717
20231108_095845,6,2,60,5,1,BodyFrame,0.06485696112929538,53.63981160775085,,3.3177214715682846
20231108_095909,11,2,60,1,1,BodyFrame,0.08008946020621859,31.856057505496366,,9.507010006338957
20231108_095935,11,2,60,2,1,BodyFrame,0.06262133184929777,12.457327055007987,,16.596468556774447
20231108_100001,11,2,60,3,1,BodyFrame,0.0681618019134547,57.2315317346785,,7.865726162564084
20231108_100027,11,2,60,4,1,BodyFrame,0.07252287519968638,28.927517683703112,,3.0749958662630403
20231108_100054,11,2,60,5,1,BodyFrame,0.09031331505732458,40.56222091786671,,6.211110202919054
20231108_100120,16,2,60,1,1,BodyFrame,0.24665221033975981,45.36100050555129,,11.956008520830498
20231108_100148,16,2,60,2,1,BodyFrame,0.7695073129119734,8.672789540721302,,17.09752590516546
20231108_100216,16,2,60,3,1,BodyFrame,0.5643017074658159,26.37014272627792,,7.813320630648654
20231108_100244,16,2,60,4,1,BodyFrame,0.12877680180804793,52.581579775128354,,3.134456738258526
20231108_100312,16,2,60,5,1,BodyFrame,0.17019517285984537,52.52868883563401,,8.876587644799129
20231108_100340,1,7,60,1,1,BodyFrame,0.06534460534874637,4.056277742077268,0.2192775514968301,0.14030054747726609
20231108_100403,1,7,60,2,1,BodyFrame,0.07323286422566214,1.3401497083490945,0.23921207175990167,0.15513017554401765
20231108_100425,1,7,60,3,1,BodyFrame,0.06056365722481895,3.334606648698899,0.2099192240140263,0.14428467978020776
20231108_100448,1,7,60,4,1,BodyFrame,0.06561871990437204,2.3616145663513053,0.2335666299192752,0.25919306683243915
20231108_100514,1,7,60,5,1,BodyFrame,0.07004669784372237,1.8553699746893817,0.2265977559386574,0.08185079026398988
20231108_100537,6,7,60,1,1,BodyFrame,0.025323303242879954,6.909619759240438,0.14176397456737283,0.320566688907574
20231108_100603,6,7,60,2,1,BodyFrame,0.03283189428513632,1.791730693969987,0.15853337283129743,0.30719877304245763
20231108_100629,6,7,60,3,1,BodyFrame,0.03181689736494202,21.945834915418633,0.15460904794178362,0.46273572687608244
20231108_100653,6,7,60,4,1,BodyFrame,0.02157793964089009,12.87270663579063,0.13688884875481847,0.40667209457111186
20231108_100718,6,7,60,5,1,BodyFrame,0.02076194748460244,18.471773395804473,0.1398642662858803,0.25281924346965995
20231108_100743,11,7,60,1,1,BodyFrame,0.05508645959976132,7.785381955436333,0.17863946338632516,1.1104917384106272
20231108_100810,11,7,60,2,1,BodyFrame,0.06408408518985555,12.863132674491618,0.21756218136749708,1.7366641540546501
20231108_100837,11,7,60,3,1,BodyFrame,0.05514886302889218,28.974997375033237,0.2052543438929463,1.1964562284791944
20231108_100905,11,7,60,4,1,BodyFrame,0.07644408845121609,21.545416907027466,0.17929718572647643,1.0603683759649796
20231108_100933,11,7,60,5,1,BodyFrame,0.06222197165390695,24.155173568875878,0.1812838785873055,0.8145085296775454
20231108_101001,16,7,60,1,1,BodyFrame,0.1900995119890777,7.021855479013948,0.4050689721120462,1.7708930879504359
20231108_101030,16,7,60,2,1,BodyFrame,0.19739552391982287,9.897984839876639,0.3784043305851459,2.8273105030742975
20231108_101101,16,7,60,3,1,BodyFrame,0.18704489930252943,13.752859220813109,0.3680457880184656,1.7112238404292823
20231108_101130,16,7,60,4,1,BodyFrame,0.17161911074676608,32.562543894397976,0.41741732786847935,1.457404716508031
20231108_101159,16,7,60,5,1,BodyFrame,0.19786261386309115,44.90904403082423,0.44436841218044665,1.2899562863461795
20231108_101230,1,12,60,1,1,BodyFrame,0.016960925946923677,1.497941124837969,0.026528089588652118,0.07755764501471649
20231108_101255,1,12,60,2,1,BodyFrame,0.017461513348326362,0.4966754021862678,0.024136860891206282,0.058520036661987594
20231108_101320,1,12,60,3,1,BodyFrame,0.013612439612464205,2.640095911139614,0.020025648433017237,0.019548537012192946
20231108_101343,1,12,60,4,1,BodyFrame,0.016133146091614623,1.6707741940165506,0.023579145068059408,0.022418564328244208
20231108_101408,1,12,60,5,1,BodyFrame,0.016784586390644743,0.7848025754928886,0.02349896399040975,0.042664707738644544
20231108_101434,6,12,60,1,1,BodyFrame,0.02149963586324381,5.045989128450703,0.020772283927805127,0.24264781740326227
20231108_101500,6,12,60,2,1,BodyFrame,0.02063484530923329,1.2844433850163395,0.020113654542100873,0.1700545368328516
20231108_101527,6,12,60,3,1,BodyFrame,0.01833829617532766,10.414950337046895,0.02066007788877756,0.30193695005516114
20231108_101552,6,12,60,4,1,BodyFrame,0.030448729567240457,5.75135737447423,0.030478382736574546,0.1662249059110105
20231108_101618,6,12,60,5,1,BodyFrame,0.027096984435731646,9.104805071705474,0.028139089574071866,0.16049952994189107
20231108_101644,11,12,60,1,1,BodyFrame,0.03360629225669449,6.371185330791083,0.051104518411536584,0.6718418740066134
20231108_101712,11,12,60,2,1,BodyFrame,0.04330035688654057,8.847938431239454,0.06136102682278863,1.2096415560449922
20231108_101740,11,12,60,3,1,BodyFrame,0.0425311093640788,16.489532053358328,0.06388593417733396,0.897473639685363
20231108_101808,11,12,60,4,1,BodyFrame,0.03404843587552692,16.49223739026103,0.056411632069560964,0.7463192792915023
20231108_101846,11,12,60,5,1,BodyFrame,0.03828089253321494,14.191929827035215,0.06147963879372093,0.8005486977100155
20231108_101915,16,12,60,1,1,BodyFrame,0.03069246779451863,4.771114843279231,0.035860992279212606,1.2139370346858012
20231108_101945,16,12,60,2,1,BodyFrame,0.028616266017336627,6.313605473586979,0.0355932807030348,1.479357029268041
20231108_102015,16,12,60,3,1,BodyFrame,0.025066365672564546,8.157987650518987,0.02999903403656385,0.842424874725218
20231108_102045,16,12,60,4,1,BodyFrame,0.031679157363240784,25.5361467967942,0.04471539493929101,1.031048497851133
20231108_102116,16,12,60,5,1,BodyFrame,0.03161102932917192,23.432572669367723,0.04293590499156024,1.2275977507793558
20231108_102145,1,17,60,1,1,BodyFrame,0.018247332949444993,0.5699686789492887,0.016304034127718473,0.022091260958810324
20231108_102209,1,17,60,2,1,BodyFrame,0.014174380992534479,0.21027749093670361,0.02295402928854905,0.015486014741377504
20231108_102234,1,17,60,3,1,BodyFrame,0.007875741116820252,1.7188738035318003,0.010129953153868118,0.008308592727519827
20231108_102258,1,17,60,4,1,BodyFrame,0.030638240850607956,0.9957316447127528,0.024707813436280007,0.02797797719611053
20231108_102323,1,17,60,5,1,BodyFrame,0.01595187251031,0.38856451843601425,0.012777935509361937,0.009511035546433257
20231108_102347,6,17,60,1,1,BodyFrame,0.006775678156635306,3.065661684411508,0.013278799651908863,0.08795349848044513
20231108_102415,6,17,60,2,1,BodyFrame,0.007121313973326244,1.1308294706587538,0.011535035612216363,0.05987182542502949
20231108_102443,6,17,60,3,1,BodyFrame,0.010387035764819702,6.260032092615906,0.020372344486032333,0.06975386207925685
20231108_102511,6,17,60,4,1,BodyFrame,0.01287535916640446,3.0508810814747,0.035158565917270554,0.1007229660150925
20231108_102541,6,17,60,5,1,BodyFrame,0.011023266439805935,5.909231946738501,0.028108892414970985,0.07644411694688275
20231108_102610,11,17,60,1,1,BodyFrame,0.011158196018810802,4.865744683397421,0.010846673279131842,0.24313183417707238
20231108_102639,11,17,60,2,1,BodyFrame,0.008663330123244961,4.10412236677331,0.009312536385179749,0.39312007306754093
20231108_102709,11,17,60,3,1,BodyFrame,0.005393948105646154,7.996377976139608,0.0066908424043464676,0.2817573370198014
20231108_102739,11,17,60,4,1,BodyFrame,0.044989163144532884,9.242594816932609,0.021054828205701634,0.22318647564626035
20231108_102808,11,17,60,5,1,BodyFrame,0.008804544830656335,7.840719444086538,0.00835796399256418,0.16895992664501372
20231108_102838,16,17,60,1,1,BodyFrame,0.013145151679876454,3.3726856441308892,0.01834354528654766,0.490516547140216
20231108_102909,16,17,60,2,1,BodyFrame,0.008366466579480708,3.4447713661313015,0.01192742618023054,0.5349022087048394
20231108_102947,16,17,60,3,1,BodyFrame,0.007767741522980666,4.182998805005053,0.011001685585025612,0.49886543791467486
20231108_103020,16,17,60,4,1,BodyFrame,0.013796191271727955,18.29471218995795,0.020851205149137436,0.3353213359146797
20231108_103051,16,17,60,5,1,BodyFrame,0.010374751376969442,16.885620226832962,0.014714086274217508,0.2945835318511052
20231108_103123,1,22,60,1,1,BodyFrame,0.023250587731727612,0.35707619683791547,0.015300512206795791,0.012738515307633425
20231108_103150,1,22,60,2,1,BodyFrame,0.015615514653472934,0.12376500532658326,0.012477891219748571,0.010537096716115036
20231108_103216,1,22,60,3,1,BodyFrame,0.016146090352822415,1.1285574634530406,0.012864840312613127,0.010917841755397607
20231108_103241,1,22,60,4,1,BodyFrame,0.031091175338358933,0.7563082206839752,0.01957031750463997,0.020627391718387508
20231108_103308,1,22,60,5,1,BodyFrame,0.02208351454440325,0.29955583779075085,0.013727081464089465,0.015216726141000893
20231108_103334,6,22,60,1,1,BodyFrame,0.0349512072086587,2.084833020108914,0.02225307754997305,0.02600385185819043
20231108_103402,6,22,60,2,1,BodyFrame,0.02609653220281191,0.852205899789215,0.016562415656271066,0.011365067286649943
20231108_103431,6,22,60,3,1,BodyFrame,0.025978431254113598,4.25440811473796,0.01637142885490502,0.011844430229773778
20231108_103459,6,22,60,4,1,BodyFrame,0.04833757486883206,2.383421255802899,0.03622442121580532,0.01213182526405387
20231108_103528,6,22,60,5,1,BodyFrame,0.037434646070760726,4.20686737754682,0.025531276198046928,0.004288444176497391
20231108_103557,11,22,60,1,1,BodyFrame,0.025373879900010065,3.422729870328138,0.019288203401133353,0.15371925622619922
20231108_103627,11,22,60,2,1,BodyFrame,0.014596174954274656,3.5291390190392287,0.00922537838634183,0.25612304651746387
20231108_103657,11,22,60,3,1,BodyFrame,0.014761275217853994,5.909417566558352,0.009915570958988137,0.056156402443226484
20231108_103727,11,22,60,4,1,BodyFrame,0.01991204579605568,6.29138246784041,0.011444900126683647,0.10077918240106926
20231108_103803,11,22,60,5,1,BodyFrame,0.020516609200097544,8.936943190149035,0.012836483110907336,0.05581008869121348
20231108_103833,16,22,60,1,1,BodyFrame,0.034511832717352524,2.617613018310182,0.02318074615042066,0.2528309724343705
20231108_103906,16,22,60,2,1,BodyFrame,0.027276101908215142,3.2445492530627056,0.017143576301528053,0.3384756130242211
20231108_103939,16,22,60,3,1,BodyFrame,0.02633682983550023,4.155456076206326,0.016710153015623463,0.12608085818173195
20231108_104013,16,22,60,4,1,BodyFrame,0.034917867460783174,12.823511625133923,0.020839078621447443,0.17546515396675033
20231108_104049,16,22,60,5,1,BodyFrame,0.03223829946016528,13.366053277245031,0.01952753481042141,0.10493153335807094
20231108_104121,1,27,60,1,1,BodyFrame,0.018631391584510583,0.3308382063254297,0.010992485292994143,0.010241351962633434
20231108_104147,1,27,60,2,1,BodyFrame,0.019837286962623206,0.13274855071631264,0.013560106812394496,0.008805192513800814
20231108_104214,1,27,60,3,1,BodyFrame,0.016418069650039346,0.92075632525235,0.009498049633338737,0.012454260505791164
20231108_104241,1,27,60,4,1,BodyFrame,0.023362939138442188,0.6963025752268731,0.015615308823770574,0.012670806092356433
20231108_104308,1,27,60,5,1,BodyFrame,0.02014097020049734,0.2644169784846832,0.011730484873177769,0.018313997403892387
20231108_104337,6,27,60,1,1,BodyFrame,0.009361999240991245,1.6109531335239282,0.005395798402870122,0.02570502662077062
20231108_104409,6,27,60,2,1,BodyFrame,0.007730945572616248,0.6828547186692755,0.0042343890909564575,0.024586658618003875
20231108_104438,6,27,60,3,1,BodyFrame,0.00953163359140381,3.873584655730221,0.005674737806425142,0.0415094464348184
20231108_104508,6,27,60,4,1,BodyFrame,0.014920379512220295,1.946582456833114,0.010467357940031433,0.03555627981805394
20231108_104537,6,27,60,5,1,BodyFrame,0.010308113675801672,3.1373233821318536,0.006106705538596634,0.007832590902649678
20231108_104606,11,27,60,1,1,BodyFrame,0.013868327688727523,2.8117515769594053,0.00849143215412413,0.09711256460694474
20231108_104639,11,27,60,2,1,BodyFrame,0.012133894064121442,3.476314160538433,0.007483166730910265,0.19587010602471092
20231108_104709,11,27,60,3,1,BodyFrame,0.013791707919253339,6.679928899359751,0.008513400427763171,0.10676058428768462
20231108_104740,11,27,60,4,1,BodyFrame,0.022057117434099358,5.2777959789286735,0.016697433156692285,0.11107980208570933
20231108_104810,11,27,60,5,1,BodyFrame,0.012700434335918935,4.324238491284529,0.008053217609984634,0.05536318304617863
20231108_104841,16,27,60,1,1,BodyFrame,0.01886684228658347,2.221615072886236,0.01291801706575167,0.19240934282168248
20231108_104915,16,27,60,2,1,BodyFrame,0.011471049051337764,2.82556503697628,0.005798365281852879,0.3686137328687675
20231108_104948,16,27,60,3,1,BodyFrame,0.012791266943807177,4.2068197735296415,0.005845846373680924,0.09616127579136512
20231108_105022,16,27,60,4,1,BodyFrame,0.022453136923721216,10.315582037510715,0.015142981104697568,0.13531163643816554
20231108_105056,16,27,60,5,1,BodyFrame,0.013900974210927487,10.248012795971963,0.00890654672439912,0.08668428165080656
